period,period_version,is_active,title,source_url,document_date,discovered_at_utc,error
201704,1,True,04/2017,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201704BANCOS.ZIP,2017-04-01T03:00:00Z,2026-08-10T23:53:12+00:00,
201703,1,True,03/2017,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201703BANCOS.ZIP,2017-03-01T03:00:00Z,2026-08-10T23:53:12+00:00,
201702,1,True,02/2017,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201702BANCOS.ZIP,2017-02-01T02:00:00Z,2026-08-10T23:53:12+00:00,
201701,1,True,01/2017,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201701BANCOS.ZIP,2017-01-01T02:00:00Z,2026-08-10T23:53:12+00:00,
201612,1,True,12/2016,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201612BANCOS.ZIP,2016-12-01T02:00:00Z,2026-08-10T23:53:12+00:00,
201611,1,True,11/2016,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201611BANCOS.ZIP,2016-11-01T02:00:00Z,2026-08-10T23:53:12+00:00,
201610,1,True,10/2016,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201610BANCOS.ZIP,2016-10-01T03:00:00Z,2026-08-10T23:53:12+00:00,
201609,1,True,09/2016,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201609BANCOS.ZIP,2016-09-01T03:00:00Z,2026-08-10T23:53:12+00:00,
201608,1,True,08/2016,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201608BANCOS.ZIP,2016-08-01T03:00:00Z,2026-08-10T23:53:12+00:00,
201607,1,True,07/2016,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201607BANCOS.ZIP,2016-07-01T03:00:00Z,2026-08-10T23:53:12+00:00,
201606,1,True,06/2016,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201606BANCOS.ZIP,2016-06-01T03:00:00Z,2026-08-10T23:53:12+00:00,
201605,1,True,05/2016,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201605BANCOS.ZIP,2016-05-01T03:00:00Z,2026-08-10T23:53:12+00:00,
201604,1,True,04/2016,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201604BANCOS.ZIP,2016-04-01T03:00:00Z,2026-08-10T23:53:12+00:00,
201603,1,True,03/2016,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201603BANCOS.ZIP,2016-03-01T03:00:00Z,2026-08-10T23:53:12+00:00,
201602,1,True,02/2016,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201602BANCOS.ZIP,2016-02-01T02:00:00Z,2026-08-10T23:53:12+00:00,
201601,1,True,01/2016,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201601BANCOS.ZIP,2016-01-01T02:00:00Z,2026-08-10T23:53:12+00:00,
201512,1,True,12/2015,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201512BANCOS.ZIP,2015-12-01T02:00:00Z,2026-08-10T23:53:12+00:00,
201511,1,True,11/2015,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201511BANCOS.ZIP,2015-11-01T02:00:00Z,2026-08-10T23:53:12+00:00,
201510,1,True,10/2015,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201510BANCOS.ZIP,2015-10-01T03:00:00Z,2026-08-10T23:53:12+00:00,
201509,1,True,09/2015,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201509BANCOS.ZIP,2015-09-01T03:00:00Z,2026-08-10T23:53:12+00:00,
201508,1,True,08/2015,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201508BANCOS.ZIP,2015-08-01T03:00:00Z,2026-08-10T23:53:12+00:00,
201507,1,True,07/2015,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201507BANCOS.ZIP,2015-07-01T03:00:00Z,2026-08-10T23:53:12+00:00,
201506,1,True,06/2015,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201506BANCOS.ZIP,2015-06-01T03:00:00Z,2026-08-10T23:53:12+00:00,
201505,1,True,05/2015,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201505BANCOS.ZIP,2015-05-01T03:00:00Z,2026-08-10T23:53:12+00:00,
201504,1,True,04/2015,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201504BANCOS.ZIP,2015-04-01T03:00:00Z,2026-08-10T23:53:12+00:00,
201503,1,True,03/2015,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201503BANCOS.ZIP,2015-03-01T03:00:00Z,2026-08-10T23:53:12+00:00,
201502,1,True,02/2015,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201502BANCOS.zip,2015-02-01T02:00:00Z,2026-08-10T23:53:12+00:00,
201501,1,True,01/2015,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201501BANCOS.zip,2015-01-01T02:00:00Z,2026-08-10T23:53:12+00:00,
201412,1,True,12/2014,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201412BANCOS.zip,2014-12-01T02:00:00Z,2026-08-10T23:53:12+00:00,
